time,size,AtoB,AtoC,AtoD
51.465,98,2.5196e-2,2.5200125526e-2,5.0984125526e-2
51.4895,578,2.6156e-2,2.616402928e-2,5.578802928e-2
51.634,1106,2.7212e-2,2.7218479038e-2,6.1066479038e-2
51.9105,1490,2.798e-2,2.7988645376e-2,6.4908645376e-2
52.283,386,2.5772e-2,2.5780413958e-2,5.3868413958e-2
52.3795,1058,2.7116e-2,2.7125438915e-2,6.0589438915e-2
52.644,146,2.5292e-2,2.5299831083e-2,5.1467831083e-2
52.6805,98,2.5196e-2,2.5203117465e-2,5.0987117465e-2
52.705,194,2.5388e-2,2.5392232677e-2,5.1944232677e-2
52.7535,914,2.6828e-2,2.6830091234e-2,5.9142091234e-2
52.982,578,2.6156e-2,2.6161066521e-2,5.5785066521e-2
53.1265,1058,2.7116e-2,2.7118118271e-2,6.0582118271e-2
53.391,1442,2.7884e-2,2.7888057849e-2,6.4424057849e-2
53.7515,530,2.606e-2,2.6064142617e-2,5.5304142617e-2
53.884,962,2.6924e-2,2.6930840788e-2,5.9626840788e-2
54.1245,578,3.1208241962e-2,3.1211475145e-2,6.0835475145e-2
54.269,1202,2.7404e-2,2.7410166367e-2,6.2026166367e-2
54.5695,674,2.6348e-2,2.6357355044e-2,5.6749355044e-2
54.738,1058,2.7116e-2,2.7122242736e-2,6.0586242736e-2
55.0025,98,2.5196e-2,2.5205642425e-2,5.0989642425e-2
55.027,98,2.5196e-2,2.5200354382e-2,5.0984354382e-2
55.0515,1394,2.7788e-2,2.779522517e-2,6.394722517e-2
55.4,1154,2.7308e-2,2.7315086977e-2,6.1547086977e-2
55.6885,626,2.6252e-2,2.6253245118e-2,5.6261245118e-2
55.845,1202,2.7404e-2,2.7405534872e-2,6.2021534872e-2
56.1455,626,2.6252e-2,2.6256195826e-2,5.6264195826e-2
56.302,50,2.51e-2,2.5102139447e-2,5.0502139447e-2
56.3145,626,2.6252e-2,2.6261130013e-2,
56.471,1394,2.7788e-2,2.7789986489e-2,6.3941986489e-2
56.8195,818,2.6636e-2,2.6637302031e-2,5.8181302031e-2
57.024,146,2.5292e-2,2.5299574434e-2,5.1467574434e-2
57.0605,1058,2.7116e-2,2.7117986478e-2,6.0581986478e-2
